DexNum,Name,DexCondition1,NumToComplete1,DexCondition2,NumToComplete2,TypeQualifier2,IsAttacker2,DexCondition3,NumToComplete3,TypeQualifier3,IsAttacker3,DexCondition4,NumToComplete4,TypeQualifier4,IsAttacker4,DexCondition5,NumToComplete5,TypeQualifier5,IsAttacker5,DexCondition6,NumToComplete6,TypeQualifier6,IsAttacker6,DexCondition7,NumToComplete7,TypeQualifier7,IsAttacker7,DexCondition8,NumToComplete8,TypeQualifier8,IsAttacker8,DexCondition9,NumToComplete9,TypeQualifier9,IsAttacker9
24,Rapidash,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Water-type moves,3,Water,FALSE,Times you've seen it use Fire Blast,40,Fire,TRUE,Times you've seen it use a strong style move,40,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
34,Zubat,Number caught,25,Number caught during daylight hours,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Gust,25,Flying,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,Investigated Zubat's knack for navigating in the dark,1,,FALSE,,,,FALSE
35,Golbat,Number caught,15,Number caught at night,20,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Ice-type moves,25,Ice,FALSE,Number you've defeated with Psychic-type moves,25,Psychic,FALSE,Times you've seen it use Bite,25,Dark,TRUE,Times you've seen it use Air Cutter,25,Flying,TRUE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
36,Crobat,Number caught,5,Number of alpha specimens caught,3,,FALSE,Number you've caught while they were in the air,5,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Ice-type moves,3,Ice,FALSE,Times you've seen it use Cross Poison,25,Poison,TRUE,Times you've seen it use Leech Life,40,Bug,TRUE,Times you've seen it use an agile style move,70,,FALSE,,,,FALSE
37,Drifloon,Number caught,25,Number caught at night,20,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Ghost-type moves,10,Ghost,FALSE,Times you've seen it use Confusion,25,Psychic,TRUE,Times you've seen it use Hypnosis,40,,FALSE,Number you've evolved,1,,FALSE,Investigated whether Drifloon truly does play with kids,1,,FALSE,,,,FALSE
38,Drifblim,Number caught,15,Number caught at night,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Dark-type moves,40,Dark,FALSE,Times you've seen it use Mystical Fire,25,Fire,TRUE,Times you've seen it use Self-Destruct,15,Normal,TRUE,Times you've seen it use an agile style move,40,,FALSE,,,,FALSE,,,,FALSE
41,Buizel,Number caught,25,Number of large specimens you've caught,7,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Aqua Jet,15,Water,TRUE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
42,Floatzel,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Grass-type moves,20,Grass,FALSE,Times you've seen it use Water Pulse,40,Water,TRUE,Times you've seen it use an agile style move,25,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
43,Burmy,Number caught,25,Number defeated,25,,FALSE,Number you've defeated with Flying-type moves,20,Flying,FALSE,Times you've seen it use Struggle Bug,25,Bug,TRUE,Number of different forms you've obtained,3,,FALSE,Times you've seen it leap out of trees,25,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
44,Wormadam,Number caught,15,Number defeated,25,,FALSE,Number you've defeated with Fire-type moves,20,Fire,FALSE,Times you've seen it use Confusion,25,Psychic,TRUE,Times you've seen it use Bug Buzz,40,Bug,TRUE,Times you've seen it use an agile style move,70,,FALSE,Times you've seen it leap out of trees,15,,FALSE,Number of different forms you've obtained,3,,FALSE,,,,FALSE
45,Mothim,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Rock-type moves,20,Rock,FALSE,Times you've seen it use Silver Wind,25,Bug,TRUE,Times you've seen it use Bug Buzz,40,Bug,TRUE,Times you've seen it use a strong style move,25,,FALSE,,,,FALSE,,,,FALSE
46,Geodude,Number caught,25,Number of heavy specimens you've caught,5,,FALSE,Number defeated,25,,FALSE,Times you've seen it use Rollout,25,Rock,TRUE,Number you've defeated with Water-type moves,20,Water,FALSE,Number you've defeated with Grass-type moves,20,Grass,TRUE,Number you've seen leap out of ore deposits,25,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
47,Graveler,Number caught,15,Number of heavy specimens you've caught,10,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Fighting-type moves,20,Fighting,FALSE,Times you've seen it use Rock Slide,25,Rock,TRUE,Number you've seen leap out of ore deposits,15,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
48,Golem,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Steel-type moves,3,Steel,FALSE,Times you've seen it use Stealth Rock,25,Rock,TRUE,Times you've seen it use Double-Edge,40,Normal,TRUE,Times you've seen it use a strong style move,15,,FALSE,,,,FALSE,,,,FALSE
52,Snorlax,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number you've caught while they were sleeping,1,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fighting-type moves,3,Fighting,FALSE,Times you've seen it use Double-Edge,25,Normal,TRUE,Times you've given it food,50,,FALSE,,,,FALSE,,,,FALSE
53,Paras,Number caught,15,Number of large specimens you've caught,7,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Fire-type moves,20,Fire,FALSE,Times you've seen it use Absorb,25,Grass,TRUE,Times you've seen it use Stun Spore,40,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
54,Parasect,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Flying-type moves,10,Flying,FALSE,Times you've seen it use Spore,25,,FALSE,Times you've seen it use Venoshock,25,Poison,TRUE,Times you've seen it use a strong style move,40,,FALSE,Investigated the mushroom growing on Parasect,1,,FALSE,,,,FALSE
57,Raichu,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Iron Tail,40,Steel,TRUE,Times you've seen it use Thunder,70,Electric,TRUE,Times you've seen it use an agile style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
59,Kadabra,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Bug-type moves,20,Bug,FALSE,Times you've seen it use Calm Mind,25,,FALSE,Times you've seen it use Psycho Cut,25,Psychic,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
60,Alakazam,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Dark-type moves,3,Dark,FALSE,Times you've seen it use Recover,40,,FALSE,Times you've seen it use Psychic,70,Psychic,TRUE,Times you've seen it use an agile style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
63,Infernape,Number caught,5,Number defeated,5,,FALSE,Number you've defeated with Ground-type moves,3,Ground,FALSE,Times you've seen it use Flare Blitz,40,Fire,TRUE,Times you've seen it use Raging Fury,40,Fire,TRUE,Times you've seen it use an agile style move,40,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE,,,,FALSE
68,Psyduck,Number caught,25,Number of heavy specimens you've caught,5,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Confusion,25,Psychic,TRUE,Times you've given it food,5,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
69,Golduck,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Zen Headbutt,25,Psychic,TRUE,Times you've seen it use Aqua Tail,25,Water,TRUE,Times you've seen it use an agile style move,25,,FALSE,Times you've stunned it by using items,5,,FALSE,Times you've scared it off with a Scatter Bang,5,,FALSE,,,,FALSE
70,Combee,Number caught,25,Number defeated,15,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Gust,25,Flying,TRUE,Number you've seen leap out of trees,40,,FALSE,Number you've evolved,3,,FALSE,Investigated the different flavors of Combee honey,1,,FALSE,,,,FALSE,,,,FALSE
71,Vespiquen,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Air Slash,25,Flying,TRUE,Times you've seen it use Bug Buzz,40,Bug,TRUE,Times you've seen it use an agile style move,15,,FALSE,Number you've seen leap out of trees,5,,FALSE,,,,FALSE
72,Scyther,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Air Slash,25,Flying,TRUE,Times you've seen it use X-Scissor,25,Bug,TRUE,Times you've seen it use an agile style move,40,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
74,Scizor,Number caught,5,Number defeated,5,,FALSE,Number you've defeated with Fire-type moves,3,Fire,FALSE,Times you've seen it use Double Hit,25,,FALSE,Times you've seen it use X-Scissor,40,Bug,TRUE,Times you've seen it use an agile style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
78,Aipom,Number caught,25,Number defeated,25,,FALSE,Number you've defeated with Fighting-type moves,20,Fighting,FALSE,Times you've seen it use Double Hit,25,,FALSE,Times you've given it food,8,,FALSE,Number you've seen leap out of trees,15,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
79,Ambipom,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fighting-type moves,20,Fighting,FALSE,Times you've seen it use Double Hit,25,,FALSE,Times you've seen it use Iron Tail,40,Steel,TRUE,Times you've seen it use a strong style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
81,Gyarados,Number caught,15,Number you've caught while they were in the air,3,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Electric-type moves,25,Electric,FALSE,Times you've seen it use Bite,40,Dark,TRUE,Times you've seen it use Hurricane,70,Flying,TRUE,Times you've seen it use a strong style move,40,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
84,Qwilfish,Number caught,15,Number defeated,25,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Barb Barrage,40,Poison,TRUE,Times you've seen it use a strong style move,40,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
87,Chansey,Number caught,15,Number you've caught while they were sleeping,1,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fighting-type moves,10,Fighting,FALSE,Times you've seen it use Soft-Boiled,25,,FALSE,Times you've given it food,20,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
88,Blissey,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number you've defeated with Fighting-type moves,10,Fighting,FALSE,Times you've seen it use Draining Kiss,40,Fairy,TRUE,Times you've seen it use Double-Edge,25,Normal,TRUE,Times you've given it food,5,,FALSE,Times you've seen it use a strong style move,15,,FALSE,Investigated what would make Blissey help a human,1,,FALSE,,,,FALSE
90,Roselia,Number caught,25,Number caught during daylight hours,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Psychic-type moves,10,Psychic,FALSE,Times you've seen it use Poison Powder,40,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
91,Roserade,Number caught,10,Number defeated,10,,FALSE,Number you've defeated with Flying-type moves,3,Flying,FALSE,Times you've seen it use Energy Ball,25,Grass,TRUE,Times you've seen it use Petal Dance,40,Grass,TRUE,Times you've seen it use an agile style move,40,,FALSE,Times you've stunned it by using items,10,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
92,Carnivine,Number caught,25,Number of alpha specimens caught,1,,FALSE,Number of large specimens caught,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Flying-type moves,25,Flying,FALSE,Times you've seen it use Acid Spray,25,Poison,TRUE,Times you've seen it use a strong style move,15,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
95,Tangela,Number caught,25,Number you've caught without being spotted,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Ancient Power,25,Rock,TRUE,Times you've given it food,5,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
96,Tangrowth,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Poison-type moves,3,Poison,FALSE,Times you'vev seen it use Double Hit,25,,FALSE,Times you've seen it use Energy Ball,40,Grass,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,3,,FALSE,Number of different forms you've obtained,2,,FALSE
97,Barboach,Number caught,15,Number you've caught without being spotted,20,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Mud-Slap,25,Ground,TRUE,Times you've seen it use Mud Bomb,25,Ground,TRUE,Times you've given it food,10,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
98,Whiscash,Number caught,15,Number of heavy specimens you've caught,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,20,Grass,FALSE,Times you've seen it use Mud Bomb,25,Ground,TRUE,Times you've seen it use Aqua Tail,40,Water,TRUE,Times you've seen it use a strong style move,25,,FALSE,,,,FALSE,,,,FALSE
99,Croagunk,Number caught,15,Number defeated,40,,FALSE,Number you've defeated with Psychic-type moves,20,Psychic,FALSE,Times you've seen it use Mud Bomb,25,Ground,FALSE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,Investigated Croagunk poison's medicinal properties,1,,FALSE,,,,FALSE
100,Toxicroak,Number caught,15,Number of alpha specimens caught,1,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Psychic-type moves,20,Psychic,FALSE,Times you've seen it use Venoshock,40,Poison,TRUE,Times you've seen it use Nasty Plot,25,,FALSE,Times you've seen it use a strong style move,25,,FALSE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number of different forms you've obtained,2,,FALSE
103,Gardevoir,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Steel-type moves,3,Steel,FALSE,Times you've seen it use Dazzling Gleam,25,Fairy,TRUE,Times you've seen it use Psychic,40,Psychic,TRUE,Times you've seen it use an agile style move,40,,FALSE,,,,FALSE,,,,FALSE
104,Gallade,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Ghost-type moves,5,Ghost,FALSE,Times you've seen it use Swords Dance,25,,FALSE,Times you've seen it use Close Combat,40,Fighting,TRUE,Times you've seen it use an agile style move,70,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
105,Yanma,Number caught,25,Number you've caught without being spotted,10,,FALSE,Number caught in the evening,20,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Ancient Power,40,Rock,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
106,Yanmega,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number you've caught without being spotted,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Flying-type moves,20,Flying,FALSE,Times you've seen it use Ancient Power,25,Rock,TRUE,Times you've seen it use Bug Buzz,40,Bug,TRUE,Times you've seen it use a strong style move,40,,FALSE,,,,FALSE
107,Hippopotas,Number caught,25,Number you've caught without being spotted,20,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Bite,25,Dark,TRUE,Times you've given it food,8,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
108,Hippowdon,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Ice-type moves,25,Ice,FALSE,Times you've seen it use Mud Bomb,40,Ground,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it with items,5,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
110,Stunky,Number caught,15,Number defeated,40,,FALSE,Number you've defeated with Ground-type moves,25,Ground,FALSE,Times you've seen it use Poison Gas,25,,FALSE,Times you've seen it use Acid Spray,25,Poison,TRUE,Times you've stunned it by using items,5,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
111,Skuntank,Number caught,15,Number of alpha specimens caught,1,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Ground-type moves,25,Ground,FALSE,Times you've seen it use Venoshock,25,Poison,TRUE,Times you've seen it use Flamethrower,40,Fire,TRUE,Times you've seen it use a strong style move,25,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
113,Ursaring,Number caught,15,Number defeated,40,,FALSE,Number you've defeated with Fighting-type moves,20,Fighting,FALSE,Times you've seen it use Bulldoze,40,Ground,TRUE,Times you've seen it use Slash,25,Normal,TRUE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
116,Sliggoo,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Water Pulse,40,Water,FALSE,Times you've seen it use Iron Head,40,Steel,TRUE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
117,Goodra,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Fighting-type moves,3,Fighting,FALSE,Times you've seen it use Dragon Pulse,25,Dragon,TRUE,Times you've seen it use Shelter,40,,FALSE,Times you've seen it use a strong style move,70,,FALSE,,,,FALSE,,,,FALSE
118,Onix,Number caught,15,Number of large specimens you've caught,7,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Water-type moves,10,Water,FALSE,Times you've seen it use Rock Slide,40,Rock,TRUE,Times you've seen it use Stealth Rock,25,Rock,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
119,Steelix,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fire-type moves,3,Fire,FALSE,Times you've seen it use Stealth Rock,25,Rock,TRUE,Times you've seen it use Iron Tail,25,Steel,TRUE,Times you've seen it use a strong style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
120,Rhyhorn,Number caught,25,Number of heavy specimens you've caught,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Grass-type moves,25,Grass,FALSE,Times you've seen it use Stealth Rock,25,Rock,TRUE,Times you've stunned it by using items,5,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
121,Rhydon,Number caught,15,Number defeated,40,,FALSE,Number you've defeated with Water-type moves,20,Water,FALSE,Times you've seen it use Rock Slide,40,Rock,TRUE,Times you've seen it use Double-Edge,40,Normal,TRUE,Times you've seen it use a strong style move,40,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
122,Rhyperior,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Ice-type moves,3,Ice,FALSE,Times you've seen it use Rock Slide,25,Rock,TRUE,Times you've seen it use Double-Edge,40,Normal,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,3,,FALSE,Number of different forms you've obtained,2,,FALSE
124,Sudowoodo,Number caught,25,Number you've caught without being spotted,20,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Water-type moves,10,Water,FALSE,Times you've seen it use Mimic,25,,FALSE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number of different forms you've obtained,2,,FALSE,Investigated the causes behind the listless Sudowoodo,1,,FALSE,,,,FALSE
125,Lickitung,Number caught,15,Number you've caught while they were sleeping,1,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fighting-type moves,10,Fighting,FALSE,Times you've seen it use Rollout,25,Rock,TRUE,Times you've given it food,50,,FALSE,Number evolved,1,,FALSE,,,,FALSE,,,,FALSE
126,Lickilicky,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fighting-type moves,3,Fighting,FALSE,Times you've seen it use Zen Headbutt,25,Psychic,TRUE,Times you've seen it use Giga Impact,40,Normal,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,3,,FALSE,,,,FALSE
132,Torterra,Number caught,5,Number defeated,5,,FALSE,Number you've defeated with Ice-type moves,3,Ice,FALSE,Times you've seen it use Wood Hammer,40,Grass,TRUE,Times you've seen it use Headlong Rush,40,Ground,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE,,,,FALSE
136,Gastly,Number caught,25,Number caught at night,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Ghost-type moves,20,Ghost,FALSE,Times you've seen it use Astonish,25,Ghost,TRUE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
137,Haunter,Number caught,15,Number caught at night,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Dark-type moves,20,Dark,FALSE,Times you've seen it use Venoshock,25,Poison,TRUE,Times you've scared it off with a Scatter Bang,7,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
140,Murkrow,Number caught,25,Number caught at night,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Rock-type moves,20,Rock,FALSE,Times you've seen it use Roost,25,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
141,Honchkrow,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number you've caught while they were in the air,5,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fairy-type moves,3,Fairy,FALSE,Times you've seen it use Snarl,25,Dark,TRUE,Times you've seen it use Dark Pulse,40,Dark,TRUE,Times you've seen it use a strong style move,40,,FALSE,,,,FALSE
144,Sealeo,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Liquidation,25,Water,TRUE,Times you've given it food,10,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
145,Walrein,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fighting-type moves,3,Fighting,FALSE,Times you've seen it use Ice Beam,25,Ice,TRUE,Times you've seen it use Blizzard,40,Ice,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,8,,FALSE,,,,FALSE
146,Remoraid,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Charge Beam,25,Electric,TRUE,Times you've seen it use Ice Beam,25,Ice,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
147,Octillery,Number caught,15,Number of alpha specimens you've caught,3,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,20,Electric,FALSE,Times you've seen it use Hydro Pump,25,Water,TRUE,Times you've seen it use Hyper Beam,40,Normal,TRUE,Times you've seen it use a strong style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
148,Skorupi,Number caught,25,Number of small specimens you've caught,7,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Poison Sting,25,Poison,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
